plasma-thunderbolt 6.7.3-1
plasma-vault 6.7.3-1
plasma-welcome 6.7.3-1
plasma-workspace 6.7.3-1
plasma-workspace-wallpapers 6.7.3-1
plasma5support 6.7.3-1
plasma6-applets-panel-colorizer 7.0.1-1
plasma6-applets-panel-colorizer-debug 7.0.1-1
plasma6-applets-resources-monitor 3.2.1-1
plasma6-applets-thermal-monitor 0.2.7-1
plasma6-applets-window-title 0.9.0-2
playerctl 2.4.1-5
plymouth 26.134.222-2
plymouth-kcm 6.7.3-1
polkit 127-3
polkit-kde-agent 6.7.3-1
polkit-qt6 0.201.1-1
poppler 26.07.0-1
poppler-data 0.4.12-2
poppler-qt6 26.07.0-1
popt 1.19-2
portaudio 1:19.7.0-4
powerdevil 6.7.3-1
ppp 2.5.3-1
print-manager 1:6.7.3-1
prison 6.28.0-1
procps-ng 4.0.6-3
protobuf 35.1-1
